City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,-1.85,98,99,3.58,RU,1715681198
1,grytviken,-54.2811,-36.5092,-7.51,76,54,2.65,GS,1715681198
2,akwanga,8.9167,8.3833,29.29,62,100,0.36,NG,1715681198
3,oriximina,-1.7656,-55.8661,23.56,97,100,0.96,BR,1715681198
4,enewetak,11.3474,162.3373,27.54,83,87,9.54,MH,1715681198
5,korla,41.7597,86.1469,32.22,13,100,7.57,CN,1715681198
6,invercargill,-46.4,168.35,8.9,82,41,1.79,NZ,1715681148
7,port-aux-francais,-49.35,70.2167,2.75,61,97,9.57,TF,1715681199
8,tocopilla,-22.092,-70.1979,17.04,66,80,3.56,CL,1715681199
9,al bawiti,28.3492,28.8659,26.75,15,0,4.11,EG,1715681199
10,bodaybo,57.8506,114.1933,13.14,61,100,5.87,RU,1715681199
11,bethel,41.3712,-73.414,12.2,87,75,0.45,US,1715681199
12,adamstown,-25.066,-130.1015,21.56,76,0,3.74,PN,1715681200
13,edinburgh of the seven seas,-37.0676,-12.3116,13.64,88,100,12.39,SH,1715681200
14,valle de la pascua,9.2155,-66.0073,25.04,77,59,2.53,VE,1715680958
15,port elizabeth,-33.918,25.5701,27.28,63,0,2.24,ZA,1715681200
16,kem',64.9555,34.5793,5.86,92,100,3.13,RU,1715681200
17,nenjiang,49.1833,125.2167,10.55,41,88,5.39,CN,1715681201
18,puerto penasco,31.3167,-113.5333,23.28,75,2,3.58,MX,1715681201
19,whitehorse,60.7161,-135.0538,0.73,75,70,1.34,CA,1715681201
20,novyy urgal,51.0736,132.5642,5.21,95,100,1.27,RU,1715681202
21,wailua homesteads,22.0669,-159.378,23.44,90,100,3.6,US,1715681202
22,tokar,18.4254,37.729,33.76,39,2,8.26,SD,1715681034
23,blackmans bay,-43.0167,147.3167,11.52,72,72,0.89,AU,1715681202
24,lincoln,40.8,-96.667,10.65,91,0,2.57,US,1715681164
25,waitangi,-43.9535,-176.5597,9.34,82,100,0.89,NZ,1715681203
26,nemuro,43.3236,145.575,7.59,81,0,3.97,JP,1715681148
27,cockburn town,21.4612,-71.1419,26.38,85,11,8.47,TC,1715681203
28,ares,-6.1944,-35.1603,25.79,86,22,3.86,BR,1715681203
29,ibshaway,29.358,30.6814,27.56,24,0,5.13,EG,1715681002
30,puerto deseado,-47.7503,-65.8938,3.19,61,42,11.12,AR,1715681203
31,puerto natales,-51.7236,-72.4875,1.37,91,90,3.07,CL,1715681204
32,vilyuchinsk,52.9306,158.4028,5.14,74,21,12.52,RU,1715681204
33,tofol,5.3248,163.0078,28.49,80,100,7.26,FM,1715681204
34,gaigeturi,33.4644,126.3183,18.55,57,0,1.49,KR,1715681204
35,avarua,-21.2078,-159.775,25.03,78,75,4.12,CK,1715681205
36,yellowknife,62.456,-114.3525,4.67,100,77,2.24,CA,1715681205
37,hasaki,35.7333,140.8333,17.22,70,89,7.11,JP,1715681205
38,ushuaia,-54.8,-68.3,7.11,85,100,5.0,AR,1715681205
39,jiuquan,39.7432,98.5174,29.74,12,39,11.01,CN,1715681205
40,hopewell,37.3043,-77.2872,18.08,84,100,1.77,US,1715681206
41,kanggye,40.9695,126.5852,19.06,63,100,3.08,KP,1715681206
42,trinidad,-14.8333,-64.9,16.35,65,100,4.07,BO,1715681207
43,margaret river,-33.95,115.0667,18.97,60,0,4.78,AU,1715681091
44,salanso,12.1833,-4.0833,33.97,37,51,3.55,BF,1715681207
45,holualoa,19.6228,-155.9522,21.91,95,20,2.57,US,1715681207
46,weno,7.4515,151.8468,27.97,89,100,3.09,FM,1715681207
47,cabedelo,-6.9811,-34.8339,25.37,82,44,3.89,BR,1715681207
48,smithers,54.7804,-127.1743,5.51,90,100,0.68,CA,1715681208
49,hermanus,-34.4187,19.2345,23.78,38,71,3.88,ZA,1715681208
50,tual,-5.6667,132.75,28.75,78,28,8.28,ID,1715681208
51,kiunga,-6.1219,141.2906,24.59,91,87,0.97,PG,1715681208
52,palikir - national government center,6.9248,158.1611,28.41,84,100,2.57,FM,1715681209
53,papatowai,-46.5619,169.4708,7.87,77,69,2.7,NZ,1715681209
54,broken hill,-31.95,141.4333,15.59,58,72,4.09,AU,1715681002
55,bhamo,24.2667,97.2333,38.01,28,56,2.06,MM,1715681210
56,ilulissat,69.2167,-51.1,-4.99,74,75,6.17,GL,1715681210
57,punta arenas,-53.15,-70.9167,7.06,76,0,14.4,CL,1715681210
58,iqaluit,63.7506,-68.5145,-17.97,84,3,2.98,CA,1715681211
59,neiafu,-18.65,-173.9833,26.45,83,100,10.47,TO,1715681211
60,emerald,-23.5333,148.1667,20.55,28,6,4.1,AU,1715681175
61,kulmbach,50.1,11.45,23.62,61,0,1.79,DE,1715681211
62,leh,34.1667,77.5833,8.86,30,5,0.24,IN,1715681211
63,kingston,17.997,-76.7936,24.53,87,100,1.36,JM,1715681212
64,badger,64.8,-147.5333,5.14,92,100,0.0,US,1715681212
65,ribeira grande,38.5167,-28.7,17.22,59,75,4.92,PT,1715681212
66,la ronge,55.1001,-105.2842,5.61,78,100,3.61,CA,1715681212
67,albany,42.6001,-73.9662,14.06,79,84,2.17,US,1715681212
68,hithadhoo,-0.6,73.0833,28.65,80,95,5.94,MV,1715681213
69,nelson bay,-32.7167,152.15,17.22,80,0,3.7,AU,1715680980
70,asuncion nochixtlan,17.4667,-97.2333,15.57,75,49,1.9,MX,1715681213
71,qaqortoq,60.7167,-46.0333,1.8,85,100,0.57,GL,1715681213
72,elverum,60.8819,11.5623,20.57,34,89,4.38,NO,1715681214
73,gap,44.6667,6.0,6.57,89,100,1.88,FR,1715681214
74,tazovsky,67.4667,78.7,-2.65,84,100,7.24,RU,1715681214
75,at-bashi,41.1702,75.8106,21.85,13,15,1.14,KG,1715680973
76,bredasdorp,-34.5322,20.0403,26.1,29,3,2.23,ZA,1715681214
77,aasiaat,68.7098,-52.8699,-7.43,76,36,5.2,GL,1715681214
78,xilin hot,43.9667,116.0333,12.5,14,48,10.27,CN,1715681215
79,lebanon,36.2081,-86.2911,19.12,89,100,1.54,US,1715681215
80,igarka,67.4667,86.5833,0.01,83,99,6.26,RU,1715681215
81,college,64.8569,-147.8028,5.18,92,100,0.0,US,1715681216
82,isafjordur,66.0755,-23.124,4.02,65,0,3.09,IS,1715681216
83,el calafate,-50.3408,-72.2768,1.35,60,2,4.65,AR,1715681216
84,palmas,-10.2128,-48.3603,23.93,88,0,0.51,BR,1715681216
85,huaicheng,23.9051,112.1931,28.22,62,21,1.37,CN,1715681216
86,san jose del guaviare,2.5729,-72.6459,22.61,99,100,0.8,CO,1715680917
87,vytegra,61.0064,36.4481,9.64,50,42,2.24,RU,1715681217
88,shwebo,22.5667,95.7,41.49,19,1,3.58,MM,1715681217
89,margate,51.3813,1.3862,15.39,90,100,3.13,GB,1715681218
90,stanley,54.868,-1.6985,17.62,85,20,4.12,GB,1715681218
91,fale old settlement,-9.3852,-171.2468,29.3,78,99,7.25,TK,1715681218
92,carnarvon,-24.8667,113.6333,22.97,62,1,3.44,AU,1715681218
93,maceio,-9.6658,-35.7353,25.69,94,0,2.06,BR,1715681218
94,wajir,1.7471,40.0573,33.04,44,99,6.96,KE,1715681042
95,harnai,30.1005,67.9374,34.77,13,0,3.47,PK,1715681218
96,madang,-5.2246,145.7966,26.0,91,100,1.84,PG,1715681046
97,shantobe,52.4581,68.1839,11.5,58,100,5.86,KZ,1715681219
98,bilibino,68.0546,166.4372,-3.66,93,100,2.97,RU,1715681219
99,hofu,34.05,131.5667,18.98,65,0,1.44,JP,1715681219
100,lepsy,46.235,78.9456,27.04,19,78,1.84,KZ,1715681220
101,lazaro cardenas,17.9583,-102.2,23.15,87,4,1.25,MX,1715681220
102,tateyama,34.9833,139.8667,18.94,78,97,5.91,JP,1715681220
103,puerto baquerizo moreno,-0.9,-89.6,22.55,92,40,2.77,EC,1715681220
104,hamilton,39.1834,-84.5333,16.54,94,100,2.57,US,1715681220
105,devarkonda,16.7,78.9333,36.22,35,67,1.64,IN,1715681084
106,guane,22.2025,-84.0875,26.46,86,88,4.64,CU,1715681221
107,vicuna,-30.0319,-70.7081,16.85,30,100,1.79,CL,1715681222
108,alice springs,-23.7,133.8833,18.75,45,10,3.09,AU,1715681222
109,afif,23.9065,42.9172,35.62,11,0,4.03,SA,1715681223
110,tindouf,27.6711,-8.1474,29.83,24,0,5.08,DZ,1715681223
111,mount pearl,47.5166,-52.7813,6.29,96,100,3.13,CA,1715681223
112,port alfred,-33.5906,26.891,23.43,74,0,1.79,ZA,1715680944
113,port lincoln,-34.7333,135.8667,14.47,85,96,3.0,AU,1715681223
114,labuan,5.2767,115.2417,29.91,71,66,3.68,MY,1715681224
115,cabo san lucas,22.8909,-109.9124,22.09,63,1,5.16,MX,1715681224
116,caconda,-13.7333,15.0667,28.0,22,4,1.56,AO,1715681224
117,ancud,-41.8697,-73.8203,3.76,88,1,2.85,CL,1715681225
118,kununurra,-15.7667,128.7333,28.99,42,6,2.57,AU,1715681090
119,nagar karnul,16.4821,78.3247,34.65,36,90,1.86,IN,1715681083
120,port-vila,-17.7338,168.3219,24.94,86,99,7.58,VU,1715681091
